0,0
1,10106
2,40425
3,90957
4,161701
5,252656
6,363822
7,495198
8,646781
9,818572
10,1010568
11,1222767
12,1455168
13,1707767
14,1980564
15,2273555
16,2586738
17,2920109
18,3273665
19,3647404
20,4041321
21,4455413
22,4889677
23,5344107
24,5818699
25,6313450
26,6828355
27,7363408
28,7918605
29,8493940
30,9089408
31,9705003
32,10340720
33,10996553
34,11672495
35,12368540
36,13084682
37,13820913
38,14577228
39,15353618
40,16150076
41,16966595
42,17803168
43,18659786
44,19536441
45,20433125
46,21349830
47,22286547
48,23243267
49,24219982
50,25216681
51,26233356
52,27269996
53,28326593
54,29403137
55,30499616
56,31616022
57,32752342
58,33908568
59,35084687
60,36280689
61,37496562
62,38732296
63,39987877
64,41263296
65,42558538
66,43873594
67,45208449
68,46563091
69,47937509
70,49331688
71,50745615
72,52179278
73,53632663
74,55105755
75,56598542
76,58111010
77,59643143
78,61194928
79,62766349
80,64357393
81,65968044
82,67598287
83,69248107
84,70917488
85,72606414
86,74314870
87,76042839
88,77790306
89,79557253
90,81343664
91,83149523
92,84974812
93,86819514
94,88683612
95,90567088
96,92469924
97,94392103
98,96333607
99,98294417
100,100274514
101,102273881
102,104292498
103,106330346
104,108387406
105,110463659
106,112559086
107,114673665
108,116807379
109,118960206
110,121132126
111,123323119
112,125533164
113,127762240
114,130010327
115,132277403
116,134563447
117,136868437
118,139192352
119,141535170
120,143896868
121,146277425
122,148676818
123,151095025
124,153532023
125,155987788
126,158462298
127,160955529
128,163467459
129,165998062
130,168547317
131,171115197
132,173701680
133,176306741
134,178930356
135,181572499
136,184233146
137,186912272
138,189609852
139,192325860
140,195060271
141,197813058
142,200584197
143,203373660
144,206181423
145,209007457
146,211851737
147,214714236
148,217594928
149,220493783
150,223410777
151,226345881
152,229299067
153,232270307
154,235259575
155,238266841
156,241292077
157,244335256
158,247396347
159,250475322
160,253572153
161,256686811
162,259819265
163,262969486
164,266137446
165,269323113
166,272526458
167,275747451
168,278986062
169,282242259
170,285516013
171,288807293
172,292116067
173,295442304
174,298785974
175,302147044
176,305525483
177,308921260
178,312334341
179,315764696
180,319212292
181,322677096
182,326159075
183,329658198
184,333174431
185,336707741
186,340258095
187,343825458
188,347409799
189,351011083
190,354629275
191,358264343
192,361916251
193,365584966
194,369270453
195,372972677
196,376691603
197,380427197
198,384179423
199,387948246
200,391733630
201,395535540
202,399353941
203,403188795
204,407040067
205,410907721
206,414791720
207,418692028
208,422608608
209,426541423
210,430490436
211,434455610
212,438436908
213,442434293
214,446447725
215,450477169
216,454522585
217,458583936
218,462661184
219,466754290
220,470863216
221,474987922
222,479128371
223,483284523
224,487456339
225,491643780
226,495846806
227,500065378
228,504299457
229,508549001
230,512813972
231,517094329
232,521390032
233,525701040
234,530027313
235,534368810
236,538725490
237,543097313
238,547484236
239,551886220
240,556303222
241,560735201
242,565182114
243,569643921
244,574120579
245,578612047
246,583118281
247,587639239
248,592174880
249,596725159
250,601290035
251,605869464
252,610463404
253,615071810
254,619694640
255,624331851
256,628983398
257,633649237
258,638329325
259,643023618
260,647732072
261,652454642
262,657191283
263,661941952
264,666706603
265,671485192
266,676277673
267,681084003
268,685904134
269,690738022
270,695585622
271,700446888
272,705321773
273,710210233
274,715112221
275,720027691
276,724956597
277,729898892
278,734854530
279,739823464
280,744805648
281,749801034
282,754809576
283,759831226
284,764865937
285,769913662
286,774974353
287,780047963
288,785134443
289,790233747
290,795345825
291,800470631
292,805608114
293,810758229
294,815920924
295,821096153
296,826283867
297,831484016
298,836696552
299,841921425
300,847158587
301,852407988
302,857669579
303,862943310
304,868229132
305,873526994
306,878836848
307,884158642
308,889492328
309,894837854
310,900195170
311,905564226
312,910944972
313,916337357
314,921741329
315,927156839
316,932583835
317,938022266
318,943472081
319,948933228
320,954405657
321,959889315
322,965384152
323,970890115
324,976407152
325,981935212
326,987474243
327,993024192
328,998585007
329,1004156636
330,1009739027
331,1015332126
332,1020935882
333,1026550241
334,1032175151
335,1037810559
336,1043456411
337,1049112655
338,1054779237
339,1060456104
340,1066143202
341,1071840479
342,1077547880
343,1083265351
344,1088992840
345,1094730291
346,1100477651
347,1106234866
348,1112001882
349,1117778644
350,1123565098
351,1129361189
352,1135166863
353,1140982066
354,1146806742
355,1152640838
356,1158484296
357,1164337064
358,1170199086
359,1176070306
360,1181950669
361,1187840120
362,1193738604
363,1199646065
364,1205562447
365,1211487696
366,1217421753
367,1223364566
368,1229316076
369,1235276228
370,1241244967
371,1247222235
372,1253207977
373,1259202136
374,1265204656
375,1271215480
376,1277234552
377,1283261815
378,1289297213
379,1295340688
380,1301392184
381,1307451644
382,1313519010
383,1319594226
384,1325677234
385,1331767978
386,1337866399
387,1343972441
388,1350086045
389,1356207155
390,1362335713
391,1368471661
392,1374614942
393,1380765496
394,1386923268
395,1393088198
396,1399260229
397,1405439302
398,1411625360
399,1417818344
400,1424018196
401,1430224858
402,1436438270
403,1442658375
404,1448885115
405,1455118429
406,1461358261
407,1467604550
408,1473857239
409,1480116269
410,1486381579
411,1492653113
412,1498930810
413,1505214611
414,1511504458
415,1517800290
416,1524102050
417,1530409677
418,1536723112
419,1543042296
420,1549367169
421,1555697672
422,1562033745
423,1568375328
424,1574722362
425,1581074787
426,1587432544
427,1593795572
428,1600163811
429,1606537202
430,1612915685
431,1619299199
432,1625687684
433,1632081081
434,1638479329
435,1644882368
436,1651290138
437,1657702578
438,1664119628
439,1670541228
440,1676967317
441,1683397835
442,1689832720
443,1696271914
444,1702715354
445,1709162980
446,1715614733
447,1722070550
448,1728530371
449,1734994136
450,1741461783
451,1747933252
452,1754408481
453,1760887410
454,1767369979
455,1773856124
456,1780345787
457,1786838905
458,1793335418
459,1799835264
460,1806338382
461,1812844712
462,1819354191
463,1825866758
464,1832382353
465,1838900914
466,1845422379
467,1851946687
468,1858473777
469,1865003587
470,1871536056
471,1878071122
472,1884608724
473,1891148801
474,1897691290
475,1904236130
476,1910783260
477,1917332617
478,1923884141
479,1930437770
480,1936993441
481,1943551094
482,1950110666
483,1956672096
484,1963235322
485,1969800282
486,1976366915
487,1982935158
488,1989504950
489,1996076229
490,2002648933
491,2009223000
492,2015798369
493,2022374977
494,2028952763
495,2035531664
496,2042111619
497,2048692566
498,2055274443
499,2061857188
500,2068440738
501,2075025033
502,2081610009
503,2088195606
504,2094781761
505,2101368411
506,2107955496
507,2114542953
508,2121130720
509,2127718735
510,2134306936
511,2140895261
512,2147483647
513,2154072034
514,2160660359
515,2167248560
516,2173836575
517,2180424342
518,2187011799
519,2193598884
520,2200185534
521,2206771689
522,2213357286
523,2219942262
524,2226526557
525,2233110107
526,2239692852
527,2246274729
528,2252855676
529,2259435631
530,2266014532
531,2272592318
532,2279168926
533,2285744295
534,2292318362
535,2298891066
536,2305462345
537,2312032137
538,2318600380
539,2325167013
540,2331731973
541,2338295199
542,2344856629
543,2351416201
544,2357973854
545,2364529525
546,2371083154
547,2377634678
548,2384184035
549,2390731165
550,2397276005
551,2403818494
552,2410358571
553,2416896173
554,2423431239
555,2429963708
556,2436493518
557,2443020608
558,2449544916
559,2456066381
560,2462584942
561,2469100537
562,2475613104
563,2482122583
564,2488628913
565,2495132031
566,2501631877
567,2508128390
568,2514621508
569,2521111171
570,2527597316
571,2534079885
572,2540558814
573,2547034043
574,2553505512
575,2559973159
576,2566436924
577,2572896745
578,2579352562
579,2585804315
580,2592251941
581,2598695381
582,2605134575
583,2611569460
584,2617999978
585,2624426067
586,2630847667
587,2637264717
588,2643677157
589,2650084927
590,2656487966
591,2662886214
592,2669279611
593,2675668096
594,2682051610
595,2688430093
596,2694803484
597,2701171723
598,2707534751
599,2713892508
600,2720244933
601,2726591967
602,2732933550
603,2739269623
604,2745600126
605,2751924999
606,2758244183
607,2764557618
608,2770865245
609,2777167005
610,2783462837
611,2789752684
612,2796036485
613,2802314182
614,2808585716
615,2814851026
616,2821110056
617,2827362745
618,2833609034
619,2839848866
620,2846082180
621,2852308920
622,2858529025
623,2864742437
624,2870949099
625,2877148951
626,2883341935
627,2889527993
628,2895707066
629,2901879097
630,2908044027
631,2914201799
632,2920352353
633,2926495634
634,2932631582
635,2938760140
636,2944881250
637,2950994854
638,2957100896
639,2963199317
640,2969290061
641,2975373069
642,2981448285
643,2987515651
644,2993575111
645,2999626607
646,3005670082
647,3011705480
648,3017732743
649,3023751815
650,3029762639
651,3035765159
652,3041759318
653,3047745060
654,3053722328
655,3059691067
656,3065651219
657,3071602729
658,3077545542
659,3083479599
660,3089404848
661,3095321230
662,3101228691
663,3107127175
664,3113016626
665,3118896989
666,3124768209
667,3130630231
668,3136482999
669,3142326457
670,3148160553
671,3153985229
672,3159800432
673,3165606106
674,3171402197
675,3177188651
676,3182965413
677,3188732429
678,3194489644
679,3200237004
680,3205974455
681,3211701944
682,3217419415
683,3223126816
684,3228824093
685,3234511191
686,3240188058
687,3245854640
688,3251510884
689,3257156736
690,3262792144
691,3268417054
692,3274031413
693,3279635169
694,3285228268
695,3290810659
696,3296382288
697,3301943103
698,3307493052
699,3313032083
700,3318560143
701,3324077180
702,3329583143
703,3335077980
704,3340561638
705,3346034067
706,3351495214
707,3356945029
708,3362383460
709,3367810456
710,3373225966
711,3378629938
712,3384022323
713,3389403069
714,3394772125
715,3400129441
716,3405474967
717,3410808653
718,3416130447
719,3421440301
720,3426738163
721,3432023985
722,3437297716
723,3442559307
724,3447808708
725,3453045870
726,3458270743
727,3463483279
728,3468683428
729,3473871142
730,3479046371
731,3484209066
732,3489359181
733,3494496664
734,3499621470
735,3504733548
736,3509832852
737,3514919332
738,3519992942
739,3525053633
740,3530101358
741,3535136069
742,3540157719
743,3545166261
744,3550161647
745,3555143831
746,3560112765
747,3565068403
748,3570010698
749,3574939604
750,3579855074
751,3584757062
752,3589645522
753,3594520407
754,3599381673
755,3604229273
756,3609063161
757,3613883292
758,3618689622
759,3623482103
760,3628260692
761,3633025343
762,3637776012
763,3642512653
764,3647235223
765,3651943677
766,3656637970
767,3661318058
768,3665983897
769,3670635444
770,3675272655
771,3679895485
772,3684503891
773,3689097831
774,3693677260
775,3698242136
776,3702792415
777,3707328056
778,3711849014
779,3716355248
780,3720846716
781,3725323374
782,3729785181
783,3734232094
784,3738664073
785,3743081075
786,3747483059
787,3751869982
788,3756241805
789,3760598485
790,3764939982
791,3769266255
792,3773577263
793,3777872966
794,3782153323
795,3786418294
796,3790667838
797,3794901917
798,3799120489
799,3803323515
800,3807510956
801,3811682772
802,3815838924
803,3819979373
804,3824104079
805,3828213005
806,3832306111
807,3836383359
808,3840444710
809,3844490126
810,3848519570
811,3852533002
812,3856530387
813,3860511685
814,3864476859
815,3868425872
816,3872358687
817,3876275267
818,3880175575
819,3884059574
820,3887927228
821,3891778500
822,3895613354
823,3899431755
824,3903233665
825,3907019049
826,3910787872
827,3914540098
828,3918275692
829,3921994618
830,3925696842
831,3929382329
832,3933051044
833,3936702952
834,3940338020
835,3943956212
836,3947557496
837,3951141837
838,3954709200
839,3958259554
840,3961792864
841,3965309097
842,3968808220
843,3972290199
844,3975755003
845,3979202599
846,3982632954
847,3986046035
848,3989441812
849,3992820251
850,3996181321
851,3999524991
852,4002851228
853,4006160002
854,4009451282
855,4012725036
856,4015981233
857,4019219844
858,4022440837
859,4025644182
860,4028829849
861,4031997809
862,4035148030
863,4038280484
